File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
fcfb5dd9-736b-415b-98d5-d06cc5173183	a1a12544-eab9-49ed-8140-95e660007e55.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-56-A4ZJ	TCGA-56-A4ZJ-01A	Primary Tumor
1dedeeb2-160b-41dc-99f5-31ec208f29f3	43fa35c1-d9c9-4ae7-bf42-ce4b4424bef8.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-22-1000	TCGA-22-1000-01A	Primary Tumor
d8bdd3f1-b0d1-4c90-a0d0-389e5b316b63	55d79fa7-5feb-4c1a-9572-aaac7ba5eb7e.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-6971	TCGA-55-6971-01A	Primary Tumor
4b5089dc-798c-4681-aed5-ed4f07d805b0	ef6e0187-ca29-4c32-9731-4f9a6b51ff80.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-66-2789	TCGA-66-2789-01A	Primary Tumor
b87c6718-468d-482e-8429-1d2c25409ce7	840bb854-0669-485e-9d83-c4e1e4f10626.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-34-5236	TCGA-34-5236-01A	Primary Tumor
f8be3730-c895-4448-85f9-e5ec5dbae4fc	03611591-08da-45c5-bfe5-ce511a2cc341.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-22-5481	TCGA-22-5481-11A	Solid Tissue Normal
0f7aba1f-82de-4303-bb1a-0ce4d0fee311	da7e58d4-34e4-4809-95d1-becd983d1da4.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-77-7142	TCGA-77-7142-11A	Solid Tissue Normal
5cddb9f6-4b87-4e84-aa58-c994a383e1d9	38ddef7b-90ed-45a4-b542-927e63b93f99.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-21-1082	TCGA-21-1082-01A	Primary Tumor
0f951db3-fcfe-48b1-9617-9e9a9a8c7fc7	8c593c14-319f-4268-92c1-46019e543502.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-85-6561	TCGA-85-6561-01A	Primary Tumor
230c6278-527a-41a8-8aa0-dfccde6b8775	7fe42315-1c0a-46cd-9b38-c09841337a96.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-66-2773	TCGA-66-2773-01A	Primary Tumor
ac11ccc8-3dfb-4454-846e-ccc57862ad10	7b775f53-89eb-4acd-899f-2c5fc398ca9a.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-58-A46K	TCGA-58-A46K-01A	Primary Tumor
1d418873-d860-4e00-ade0-bf2143d0d716	52b12974-df31-4627-b337-c24fdcec9cfa.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-22-A5C4	TCGA-22-A5C4-01A	Primary Tumor
71a8cd6c-6380-438c-ba5d-154c867331a0	44121978-20e4-4330-8899-67a7557e6d7c.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-77-A5GA	TCGA-77-A5GA-01A	Primary Tumor
fc630f8d-0816-44fe-88ce-9fc5602fe976	fab01c26-ff5b-4db5-bb5f-5b17847ca2b5.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-22-4607	TCGA-22-4607-01A	Primary Tumor
e6ee0df8-6266-4d51-9900-59eac026f30f	1ca28f55-cd20-463f-b419-dba7924e195a.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-85-8664	TCGA-85-8664-01A	Primary Tumor
0b7caf5e-59df-4e43-ad37-1a770aa69aa7	6ef20248-2378-4c89-aac1-8e2d37d01d51.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-77-8131	TCGA-77-8131-01A	Primary Tumor
013cb19f-71c8-4c49-b3ec-e3dc7a335743	9ef0c6dd-6e38-41fd-aff6-ae0800c7755d.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-85-7698	TCGA-85-7698-01A	Primary Tumor
93a04ac3-bcc8-4137-b120-beafece996eb	f69d848c-f9cb-4871-9c25-35c43cbbf4e6.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-33-4566	TCGA-33-4566-01A	Primary Tumor
030083d8-628f-40e3-b524-87fb0c405818	e15d3de5-f141-487f-8262-8b0d20563c76.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-43-A474	TCGA-43-A474-01A	Primary Tumor
b4cafa05-78cf-492d-bc17-a1ac4efd1710	b7fcdf45-6b26-46e8-aa40-2761354d1251.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-43-3394	TCGA-43-3394-01A	Primary Tumor
ca3d91e9-54f3-497f-a83a-356b6af87a45	a7a24ac0-69a4-49c1-9463-b219a1ac17b8.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-60-2703	TCGA-60-2703-01A	Primary Tumor
def3cad2-5e1d-4123-865e-6e12ab7a0364	b448bfa4-4ce9-457c-8e63-5bee1a31e275.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-85-6560	TCGA-85-6560-01A	Primary Tumor
41adaffc-adab-41f2-8eb6-6132d94a8bfa	60a2aca4-1635-4343-81cd-9d7f68d3c395.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-43-3920	TCGA-43-3920-01A	Primary Tumor
310c914c-8eb5-46df-ab20-121d7e5595ae	d9d1784d-9340-42eb-b04f-fd45f142db31.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-43-8115	TCGA-43-8115-01A	Primary Tumor
df1fdc94-539d-40b3-8362-1849238709ee	18ec943b-2068-467c-82df-07c60f4ed200.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-34-5927	TCGA-34-5927-01A	Primary Tumor
b221eccf-34d6-44e3-b02f-8ca41ddb783f	c5f18a05-b05e-4419-ab3f-b52784fc4ce3.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-21-A5DI	TCGA-21-A5DI-01A	Primary Tumor
7c800eae-259c-4fb2-82a5-7f1111cc8df7	22dc8274-75e7-4009-a934-81265a087dfa.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-85-8072	TCGA-85-8072-01A	Primary Tumor
6aa664c1-3ab6-4f1c-b8c1-4c827a2d7ead	6b34f95d-8875-4a62-b90e-9cf9d92c8055.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-22-1016	TCGA-22-1016-01A	Primary Tumor
fb6ad135-4716-4dc3-994d-d4eb2838ac5b	be244b42-fd11-4788-9a3e-60be97747994.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-66-2777	TCGA-66-2777-01A	Primary Tumor
ff2eee4a-3773-4426-913c-02946c53b85f	aeb170cb-b227-4033-9e15-3d6d6102d856.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-85-7950	TCGA-85-7950-01A	Primary Tumor
adb6aa37-50be-4845-a5e2-e495d08724f2	74a0acc6-747d-4e2e-9cbf-c5b9c8cba8d7.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-98-8020	TCGA-98-8020-01A	Primary Tumor
45d5fcf3-719a-4b12-8989-d338601a9ee8	73814f90-c4e3-40dd-b9be-46956becf725.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-O2-A52V	TCGA-O2-A52V-01A	Primary Tumor
819a1b43-e128-4777-974a-8ff2dd92e252	112c839c-41b0-4864-8af1-3fda2e67e4b1.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-7570	TCGA-55-7570-01A	Primary Tumor
93978441-28cb-41d9-9b28-d3b6b1bbffff	12fff07f-74d6-4ee0-9f4f-36a4d194d24f.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-MP-A4T8	TCGA-MP-A4T8-01A	Primary Tumor
9fc88db6-936d-4137-8748-99f9c791a21c	c258e44b-44c5-43d7-835e-912049ae12c4.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-7573	TCGA-55-7573-01A	Primary Tumor
fdd006a7-4ab5-47af-b5d1-9a2d2da2bc05	e95d6e6b-6aaf-4003-9dc6-4b464a9d1725.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-6980	TCGA-55-6980-11A	Solid Tissue Normal
788c2d31-d6b9-4daa-a25d-06748a3e41b2	fee154e0-ff94-402d-91e3-6c3d458bee00.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-S2-AA1A	TCGA-S2-AA1A-01A	Primary Tumor
20d0e1fa-ad22-41d4-aa1b-a64af6fa2f19	2b2b6341-1f6d-4acc-8a67-0ba8ab051ee8.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-49-4512	TCGA-49-4512-11A	Solid Tissue Normal
014c7dc5-5b88-413d-a8b1-d059e1a17ad3	d81394e3-a55e-4b85-b13d-e3fa1806c800.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-2666	TCGA-44-2666-01A	Primary Tumor
edf93742-e99f-493e-aa9c-5c0839da46d5	39ef3ef1-d868-4c8c-81a1-238451a08f11.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-38-4631	TCGA-38-4631-01A	Primary Tumor
62e2f206-2330-425c-8530-a6df994758f6	e657cd5a-217e-45df-8203-a3f8c4907f4a.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-49-4512	TCGA-49-4512-01A	Primary Tumor
7ff2c451-e2f5-4cd9-a456-207ddb2a6486	a9452e8a-decb-49e4-b4f6-3db74539643b.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-99-8033	TCGA-99-8033-01A	Primary Tumor
de5dc648-7727-481e-be28-fe204fa7f632	38ef59ed-8eb9-4957-a210-4d118df089ce.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-62-A46Y	TCGA-62-A46Y-01A	Primary Tumor
e1ce6887-6fb3-4280-9516-d5c95b03167a	7a490321-6070-4c3e-827f-2cecef3fc499.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-95-A4VN	TCGA-95-A4VN-01A	Primary Tumor
230fd6ca-16a6-40bb-9f3a-b0ca6136039b	cecac722-4fe4-45e5-85e9-a4ce24c567b2.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-2668	TCGA-44-2668-11A	Solid Tissue Normal
ec1471b1-e0c7-42ec-b79f-191a96fdc91e	43b969ef-d7cb-4c8d-b6de-fdfa48b8edff.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-73-A9RS	TCGA-73-A9RS-01A	Primary Tumor
0e3de66a-371e-4cc8-9db4-7728be2c7468	e4de8f87-b9c8-4021-b29a-b7d128ff64a3.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-7816	TCGA-55-7816-01A	Primary Tumor
671f2276-538e-459e-89f7-5c66a7d94f93	6188f79f-599d-45ff-802f-d1ee94b97b22.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-NJ-A4YQ	TCGA-NJ-A4YQ-01A	Primary Tumor
0f5f287b-ee07-47b1-9d71-03cacffbdc21	dc76cdde-f77f-4604-94c4-0b150b9a56b4.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-05-4405	TCGA-05-4405-01A	Primary Tumor
f0790836-876d-4d70-95da-60591f60b590	ab51cccb-b5df-434a-a5a4-32368ccf0b24.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-2668	TCGA-44-2668-01B	Primary Tumor
a5798fa0-0f48-4cd6-8d45-b3b6422a630a	f4eb983f-0eee-4c8a-9f72-b5382957d377.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-6970	TCGA-55-6970-01A	Primary Tumor
b9357a69-0702-4ec9-8074-6e48d03b7c57	b8ab62ef-0259-4df2-95b6-843a150d11ca.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-6775	TCGA-44-6775-01A	Primary Tumor
70e35399-b5d0-4936-b9cd-1d1fcd275bc2	5eb38f95-cf76-4066-9a4f-df7c30728ff2.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-86-A456	TCGA-86-A456-01A	Primary Tumor
fe93970c-22e5-40ab-84da-f86013e90f11	36cd6a8c-1c63-44d3-9276-ba9fe9c155ea.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-7284	TCGA-55-7284-01B	Primary Tumor
d17977be-70a2-4b57-9829-ec0bf5d9cd75	d370b7a3-a534-4190-a6d0-79276273093c.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-L4-A4E5	TCGA-L4-A4E5-01A	Primary Tumor
89fcedf6-1f6e-4945-82f4-96926c6fd0a0	7eea1b88-308c-4d1d-9a94-fc102940c58e.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-50-6591	TCGA-50-6591-01A	Primary Tumor
dd923682-0a67-4582-a7ab-b83ceb90b8ff	bdc9dadb-a543-4965-b85f-8b20b14d4efe.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-J2-A4AE	TCGA-J2-A4AE-01A	Primary Tumor
396347a5-06bf-4593-97e5-77e0e6b4dbb2	f822471e-0d7d-4bad-a42a-79dce03c366f.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-A492	TCGA-55-A492-01A	Primary Tumor
f41bf7af-542f-45ef-b938-abc290e21186	2d0ce6d3-9a09-46ba-9c91-bd4f3764e490.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-73-4676	TCGA-73-4676-01A	Primary Tumor
9453f22a-6049-4c01-bbb0-3a62083cce49	a506e085-33bc-432c-bffc-5dd858bcfb3f.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-6984	TCGA-55-6984-01A	Primary Tumor
379f8701-e3f0-4d53-91a2-d0862b402144	3f2012b6-8d85-4666-b73e-64cf2c0946fa.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-86-8280	TCGA-86-8280-01A	Primary Tumor
bfe9c559-abae-4b4d-b4f6-cc599498a9aa	5d187a95-6b3d-42dc-a5c8-cf1758243c46.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-43-6143	TCGA-43-6143-01A	Primary Tumor
39721eb1-1f7a-4b50-ba20-0eec5b7de877	0c2381c5-4134-44a4-ac41-e141e89e1b1f.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-85-8048	TCGA-85-8048-01A	Primary Tumor
bdf12354-dbe9-4749-bd01-806f056fac46	a75a9fcd-cc1d-4ef6-a213-dd468217ad5b.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-77-7337	TCGA-77-7337-11A	Solid Tissue Normal
4d9c2ee9-6032-4ade-970c-3088a5a27882	bcd07e88-975d-4f4b-9b2e-33ad0f2211f3.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-18-3409	TCGA-18-3409-01A	Primary Tumor
d9b0ba06-6a11-4302-ad2a-f9912f06b5b7	118933b6-86c7-4668-9973-424ece352a60.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-33-4587	TCGA-33-4587-11A	Solid Tissue Normal
87ec3d42-ecb5-420a-9c6a-a86817a0280d	6219a10b-0637-4332-a4f0-118b5d434d74.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-85-8070	TCGA-85-8070-01A	Primary Tumor
6cdc19e7-a250-4bf3-888b-948ff2d321c2	5a491f56-a9a5-4bae-a85a-c4c316a6b282.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-22-5478	TCGA-22-5478-01A	Primary Tumor
11245abe-ce76-4215-9006-24dc037b6a8e	983f2870-96f9-471d-b42e-41b7b84331fc.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-94-A4VJ	TCGA-94-A4VJ-01A	Primary Tumor
be4f9b4d-1f73-4ee3-8fa2-1e38df4f6c04	175f6491-e372-44ee-9108-3228812e2f1c.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-21-1081	TCGA-21-1081-01A	Primary Tumor
70c64712-bbb8-4e6a-a075-f3383ea1b71e	c38a7a21-5785-4998-8ba4-fb2836c2eb8d.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-77-8154	TCGA-77-8154-01A	Primary Tumor
a5c9588b-b5e9-4257-92ee-6f8819c658aa	57511eed-4acc-4a58-8640-664e5710d003.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-85-A4CN	TCGA-85-A4CN-01A	Primary Tumor
7b418d41-da4c-40eb-aaff-055ef9a3d5bd	258b03ca-d1a3-4102-a953-476df48c3ae7.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-70-6722	TCGA-70-6722-01A	Primary Tumor
0542e013-e611-44ac-acc6-ab2fc5dac59f	e432ae12-e368-4264-a129-b9a6481af513.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-43-2576	TCGA-43-2576-01A	Primary Tumor
d830040c-d652-4179-bb4d-c10911f91e30	79bd5246-cf1c-482a-8bc7-8b0f7d261739.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-98-A53I	TCGA-98-A53I-01A	Primary Tumor
dbb95e8f-c9e9-46ac-af2f-9453cd2dffc8	e944e416-2727-4966-8248-73427d8faf7e.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-77-8144	TCGA-77-8144-01A	Primary Tumor
cc12ac34-0e96-4edd-81d7-5418b25d3a4e	f9415abb-ec64-4d0f-ad7e-26f2071b2c24.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-63-A5MR	TCGA-63-A5MR-01A	Primary Tumor
e8a91ae4-5f08-403d-9178-2961bf4cd00d	d39a7d6b-a424-483a-abb6-cb11ec9a263f.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-22-1002	TCGA-22-1002-01A	Primary Tumor
17f4395a-5cb2-40b2-8954-ca549b4fb8fb	1b5c1647-d213-43f4-961c-ef74b269a152.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-22-4595	TCGA-22-4595-01A	Primary Tumor
61ff519b-fbea-4537-8d58-d3e9975bae44	1ea50a97-2adb-4252-aec8-2fe94d49b0a0.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-56-8623	TCGA-56-8623-11A	Solid Tissue Normal
48b73899-c030-4c27-aac0-e6e8f92a71ab	254b71a7-176c-4258-8fa9-2985223138ff.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-22-4593	TCGA-22-4593-01A	Primary Tumor
0de969eb-f164-4d3b-89e7-5f3bb0a6b577	d146cc22-0cb0-4adf-b507-95c343419dc1.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-66-2771	TCGA-66-2771-01A	Primary Tumor
9f01b38f-ff98-4457-b980-f74f42e08848	5ac8c94d-2de4-48ce-87cd-f007fdc9ba54.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-63-A5MS	TCGA-63-A5MS-01A	Primary Tumor
517a08c4-7b02-4a17-98ac-a9b6ce15d58e	091be805-db73-4d7c-852a-c13b9923c13a.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-46-3765	TCGA-46-3765-01A	Primary Tumor
5e78f36e-4472-4548-b7e2-98b1c422aecd	cfb70595-7191-40cc-802d-dad9cb578b1a.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-56-7580	TCGA-56-7580-11A	Solid Tissue Normal
0b0d3499-11a5-4d1b-b3d9-b7614de0e650	29b6e624-9539-4abc-b80f-b5c7b65948fc.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-22-5483	TCGA-22-5483-11A	Solid Tissue Normal
6c6b0b07-8206-4074-b03b-3819abde673a	be6f5b47-f164-4947-9b35-02f94248e462.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-78-7167	TCGA-78-7167-01A	Primary Tumor
a30274b4-c0a3-4801-9f4f-979e885727cc	08c068ff-d5a6-468e-a9dc-3a5ff708ebef.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-8510	TCGA-55-8510-01A	Primary Tumor
65f6a5f8-c5d3-4012-995f-7c6bd4d9ff23	df692bf8-d523-4528-aa0c-a0549373adee.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-64-5774	TCGA-64-5774-01A	Primary Tumor
b4ec70b1-07a5-4ec7-9419-df7e040fb265	cb537a4c-7b5c-493f-8dea-6fd0107e6c58.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-2655	TCGA-44-2655-01A	Primary Tumor
3956f6d3-5bfe-4a86-870d-53916fbebb46	e158cf09-9e8a-4a3f-9097-2f94222e5461.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-L9-A444	TCGA-L9-A444-01A	Primary Tumor
fe53d5ea-96a1-46a5-8db1-30ecf3d16d3f	508976fe-e7a9-4743-a098-2fb0cbe32f8d.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-49-6767	TCGA-49-6767-01A	Primary Tumor
